proto,saddr,daddr,state,dttl,shops,sload,srate,dtcpb,label
arp,192.168.159.150,192.168.159.151,INT,0,0,471.854004,0.983029,0,Attack
udp,192.168.159.1,192.168.159.254,CON,16,0,0,0,0,normal
arp,192.168.159.1,192.168.159.2,INT,0,0,528.237366,1.100495,0,normal
ipv6-icmp,fe80::c938:a595:81e8:acab,ff02::16,UNK,0,0,56484.98438,78.45137,0,normal
igmp,192.168.159.1,0.0.0.1,INT,0,0,0,0,0,normal
igmp,192.168.159.1,0.0.0.1,INT,0,0,0,0,0,normal
igmp,192.168.159.1,0.0.0.1,INT,0,0,0,0,0,normal
igmp,192.168.159.1,0.0.0.1,INT,0,0,0,0,0,normal
udp,192.168.159.1,224.0.0.251,INT,0,0,1445783.125,1807.229004,0,normal
udp,fe80::c938:a595:81e8:acab,ff02::fb,INT,0,0,2067480.25,2153.625244,0,normal
igmp,192.168.159.1,0.0.0.1,INT,0,0,0,0,0,normal
udp,192.168.159.150,220.233.156.30,CON,128,0,0,0,0,Attack
tcp,192.168.159.152,18.196.251.237,CON,128,0,1320.58374,3.001327,321141381,normal
arp,192.168.159.2,192.168.159.152,CON,0,0,0,0,0,normal
tcp,192.168.159.152,18.196.251.237,CON,128,0,1397.970459,3.177206,1256943792,normal
udp,fe80::6122:f65a:207:566a,ff02::1:2,REQ,,,0,0,0,normal
ipv6-icmp,fe80::c938:a595:81e8:acab,ff02::1:ff00:1,NNS,0,1,0,0,0,normal
arp,192.168.159.1,192.168.159.254,CON,0,0,0,0,0,normal
arp,192.168.159.150,192.168.159.2,CON,0,0,0,0,0,Attack
arp,192.168.159.150,192.168.159.151,INT,0,0,470.43161,0.980066,0,Attack
arp,192.168.159.1,192.168.159.2,INT,0,0,619.884766,1.291427,0,normal
udp,192.168.159.1,192.168.159.255,INT,0,0,0,0,0,normal
arp,192.168.159.150,192.168.159.151,INT,0,0,469.604553,0.978343,0,Attack
arp,192.168.159.150,192.168.159.151,INT,0,0,455.082275,0.948088,0,Attack
udp,fe80::6122:f65a:207:566a,ff02::1:2,REQ,0,0,0,0,0,normal
arp,192.168.159.150,192.168.159.151,INT,0,0,469.034912,0.977156,0,Attack
arp,192.168.159.150,192.168.159.151,INT,0,0,470.387543,0.979974,0,Attack
udp,192.168.159.150,220.233.156.30,CON,128,0,0,0,0,Attack
udp,192.168.159.152,224.0.0.251,INT,0,1,0,0,0,normal
udp,fe80::20c:29ff:fea5:ca5e,ff02::fb,INT,0,1,0,0,0,normal
arp,192.168.159.150,192.168.159.2,CON,0,0,0,0,0,Attack
arp,192.168.159.150,192.168.159.151,INT,0,0,472.106476,0.983555,0,Attack
